date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:14	485912/485912	---MCZ	200	added ('OK')	text/html	etag:W/%222a42f623d9411fc4227e924c7184b2ae%22	https://royborkin.editorx.io/osthesis---royborkin	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/royborkin.editorx.io/osthesis---royborkin.html	(from )
20:43:14	201/201	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20May%202022%2017:43:15%20GMT	https://royborkin.editorx.io/robots.txt		(from )
20:43:15	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:15	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:16	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2002:59:47%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/polyfill.io/v3/polyfill.mind82c.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:16	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:17	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2017:43:17%20GMT	https://royborkin.editorx.io/decodeURIComponent(e	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/royborkin.editorx.io/decodeURIComponent(e	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:17	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2017:43:18%20GMT	https://royborkin.editorx.io/sitemap.xml	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/royborkin.editorx.io/sitemap.xml	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:17	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2017:43:18%20GMT	https://royborkin.editorx.io/feed.xml	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/royborkin.editorx.io/feed.xml	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:18	167174/167174	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eeca1213d98a222091b218852e2f9e63%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:18	179805/179805	---M-Z	200	added ('OK')	application/javascript	etag:W/%223e753a8178439e1c0ebc47c2e688c3f4%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:18	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:19	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%22edf56a42bca6b565bf7dfcbd8ffc221a%22	https://static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/unpkg/react@16.13.1/umd/react.production.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:19	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:20	38502/38502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e0bc75cd29020598154edc6c218d43ea%22	https://static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/services/wix-perf-measure/1.756.0/wix-perf-measure.bundle.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:20	1745/1745	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2017:43:20%20GMT	https://royborkin.editorx.io/	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/royborkin.editorx.io/index.html	(from https://royborkin.editorx.io/osthesis---royborkin)
20:43:20	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dcf51763fb4a654e15a4e6e7754ca5d2%22	https://static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	C:/Users/roybo/Desktop/New%20folder/OSTHESIS%20-%20RoyBorkin/static.parastorage.com/unpkg/react-dom@16.13.1/umd/react-dom.production.min.js	(from https://royborkin.editorx.io/osthesis---royborkin)
